year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2002.05370,,0.76000,,
2002.05400,6.34000,,,
2002.08110,5.76000,,,
2002.08190,,7.48000,,
2002.10830,1.06000,8.96000,,
2002.13520,,9.77000,,
2002.13540,2.95000,,,
2002.16260,7.77000,8.92000,,
2002.18970,8.40000,,,
2002.18980,,3.11000,,
2002.21680,8.67000,,,
2002.21690,,4.88000,,
2002.24380,,3.67000,,
2002.24400,3.07000,,,
2002.27110,1.22000,,,
2002.27130,,8.52000,,
2002.29830,,4.24000,,
2002.29880,-2.34000,,,
2002.32540,4.48000,5.05000,,
2002.35250,,4.76000,,
2002.35270,8.46000,,,
2002.37970,8.56000,6.65000,,
2002.40690,6.62000,5.77000,,
2002.43400,0.05000,3.21000,,
2002.46110,4.60000,6.61000,,
2002.48830,14.39000,9.14000,,
2002.51550,,6.86000,,
2002.54260,10.75000,9.06000,,
2002.56970,7.62000,11.24000,,
2002.59690,6.02000,11.42000,,
2002.62390,8.14000,,,
2002.62400,,11.86000,,
2002.65120,,8.60000,,
2002.65510,11.59000,,,
2002.67830,11.76000,,,
2002.67840,,6.34000,,
2002.70550,,6.17000,,
2002.70640,10.96000,,,
2002.73260,7.98000,,,
2002.73270,,8.65000,,
2002.75980,,6.78000,,
2002.75990,-0.42000,,,
2002.78630,7.69000,,,
2002.78690,,10.41000,,
2002.81410,,13.09000,,
2002.81430,15.60000,,,
2002.84130,,5.44000,,
2002.84150,12.75000,,,
2002.86840,12.09000,6.05000,,
2002.89430,,10.04000,,
2002.89620,12.19000,,,
2002.92270,12.58000,9.28000,,
2002.94980,13.74000,9.57000,,
2002.97700,14.44000,7.59000,,
2003.00410,,7.24000,,
2003.00420,15.78000,,,
2003.03120,12.48000,,,
2003.03130,,7.35000,,
2003.05840,13.39000,12.46000,,
2003.08560,8.87000,12.61000,,
2003.11270,14.13000,15.09000,,
2003.13980,11.69000,,,
2003.13990,,9.78000,,
2003.16700,15.80000,,,
2003.16710,,8.00000,,
2003.19420,15.71000,10.06000,,
2003.22120,9.99000,,,
2003.22130,,11.22000,,
2003.24840,10.29000,,,
2003.24850,,10.10000,,
2003.27560,10.65000,,,
2003.27990,,10.16000,,
2003.30280,14.10000,7.86000,,
2003.32990,17.24000,,,
2003.33000,,8.77000,,
2003.35700,18.63000,10.28000,,
2003.38420,14.13000,10.65000,,
2003.41130,,10.57000,,
2003.41140,10.17000,,,
2003.43850,12.77000,7.79000,,
2003.46570,17.48000,8.66000,,
2003.49280,15.52000,6.36000,,
2003.52000,11.56000,7.04000,,
2003.54700,11.79000,,,
2003.54710,,10.90000,,
2003.57410,5.91000,,,
2003.57420,,9.35000,,
2003.60140,12.37000,10.60000,,
2003.62860,12.95000,7.62000,,
2003.65560,16.66000,,,
2003.65570,,10.36000,,
2003.68270,15.00000,,,
2003.68290,,11.91000,,
2003.71000,5.47000,12.05000,,
2003.73710,,11.77000,,
2003.73720,6.39000,,,
2003.76420,10.36000,,,
2003.76430,,13.84000,,
2003.79140,13.62000,11.73000,,
2003.81860,,11.27000,,
2003.81870,16.91000,,,
2003.84570,17.13000,10.48000,,
2003.87080,,9.30000,,
2003.87280,7.53000,,,
2003.90000,9.35000,,,
2003.91120,,6.83000,,
2003.92710,13.99000,,,
2003.92720,,11.76000,,
2003.95430,18.37000,11.59000,,
2003.98130,18.36000,,,
2003.98150,,8.52000,,
2004.00860,11.59000,9.26000,,
2004.03580,9.36000,,,
2004.03590,,14.17000,,
2004.06280,,13.44000,,
2004.06290,8.43000,,,
2004.08980,11.07000,,,
2004.09010,,12.27000,,
2004.11350,,6.51000,,
2004.11730,16.21000,,,
2004.14430,13.24000,,,
2004.14890,,11.47000,,
2004.17150,15.62000,12.46000,,
2004.19860,8.22000,11.71000,,
2004.22580,10.40000,,,
2004.22590,,12.25000,,
2004.25130,,14.31000,,
2004.25310,17.01000,,,
2004.28010,18.39000,11.46000,,
2004.30730,,14.78000,,
2004.30750,22.06000,,,
2004.33430,16.00000,,,
2004.33440,,10.09000,,
2004.36150,13.99000,10.39000,,
2004.38840,12.18000,,,
2004.38860,,9.56000,,
2004.41580,,13.27000,,
2004.44290,,12.66000,,
2004.47020,,11.21000,,
2004.47280,19.34000,,,
2004.49710,13.96000,,,
2004.49730,,15.17000,,
2004.52260,9.79000,,,
2004.52440,,14.42000,,
2004.54970,7.78000,,,
2004.55160,,12.44000,,
2004.57710,8.46000,,,
2004.57870,,9.66000,,
2004.60600,,10.98000,,
2004.60630,15.89000,,,
2004.63300,,13.48000,,
2004.63310,17.27000,,,
2004.66010,,12.92000,,
2004.66020,13.78000,,,
2004.68700,8.35000,,,
2004.68730,,14.38000,,
2004.71430,11.65000,,,
2004.71450,,17.04000,,
2004.74160,,12.40000,,
2004.74170,7.61000,,,
2004.76860,17.54000,,,
2004.76870,,13.82000,,
2004.79590,,14.77000,,
2004.79600,15.37000,,,
2004.82310,10.44000,,,
2004.82320,,13.17000,,
2004.85020,8.72000,13.64000,,
2004.87730,9.48000,,,
2004.87740,,13.86000,,
2004.90440,,8.58000,,
2004.90450,9.44000,,,
2004.93170,,12.16000,,
2004.93180,17.13000,,,
2004.95410,14.86000,,,
2004.95900,,13.41000,,
2004.98590,12.99000,,,
2004.98600,,19.64000,,
2005.01290,2.49000,,,
2005.01310,,14.88000,,
2005.04010,6.03000,,,
2005.04020,,14.36000,,
2005.06750,12.68000,16.63000,,
2005.09450,18.68000,15.82000,,
2005.12170,15.57000,16.64000,,
2005.14880,8.28000,,,
2005.14910,,16.37000,,
2005.17590,11.44000,19.83000,,
2005.20310,,18.26000,,
2005.20330,10.24000,,,
2005.23010,,13.08000,,
2005.23030,10.42000,,,
2005.25740,13.53000,13.75000,,
2005.28440,,18.68000,,
2005.28470,17.23000,,,
2005.31060,7.49000,,,
2005.31170,,15.90000,,
2005.33890,,17.11000,,
2005.33940,8.87000,,,
2005.36590,12.56000,,,
2005.36600,,17.01000,,
2005.39320,16.95000,,,
2005.39330,,16.07000,,
2005.42000,13.85000,,,
2005.42030,,16.46000,,
2005.44740,13.30000,17.63000,,
2005.47450,8.73000,,,
2005.47460,,17.85000,,
2005.50170,6.58000,16.98000,,
2005.52890,,19.29000,,
2005.52910,11.40000,,,
2005.55600,,15.48000,,
2005.55610,14.73000,,,
2005.58310,17.96000,,,
2005.58330,,17.15000,,
2005.61020,16.06000,,,
2005.61030,,14.96000,,
2005.63760,,15.74000,,
2005.63770,10.19000,,,
2005.66460,,17.48000,,
2005.66470,8.50000,,,
2005.69170,13.27000,,,
2005.69180,,18.25000,,
2005.71370,,17.68000,,
2005.71900,18.01000,,,
2005.74620,16.44000,,,
2005.75110,,17.36000,,
2005.76560,16.42000,,,
2005.77340,,18.10000,,
2005.80040,,16.81000,,
2005.82750,,17.17000,,
2005.85470,,20.20000,,
2005.88180,,19.67000,,
2005.90910,,18.25000,,
2005.93620,,19.25000,,
2005.96330,,20.22000,,
2005.99060,,20.67000,,
2006.01760,,19.00000,,
2006.04470,,14.57000,,
2006.07190,,17.30000,,
2006.09910,,18.07000,,
2006.12620,,17.05000,,
2006.15350,,17.16000,,
2006.18040,,18.09000,,
2006.20760,,13.80000,,
2006.23470,,17.51000,,
2006.26190,,16.57000,,
2006.28900,,16.30000,,
2006.31630,,16.22000,,
2006.34330,,16.53000,,
2006.37050,,19.92000,,
2006.39750,,19.97000,,
2006.42480,,19.55000,,
2006.45190,,19.00000,,
2006.47910,,18.29000,,
2006.50640,,19.78000,,
